! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
-2,-0.00002894949,2.894949E-5,-10.449957970681
-1.98,-0.00002841206,2.841206E-5,-10.468696855047
-1.96,-0.00002807091,2.807091E-5,-10.480776749163
-1.94,-0.00002772684,2.772684E-5,-10.493109660834
-1.92,-0.0000274299,2.74299E-5,-10.503876898665
-1.9,-0.00002725482,2.725482E-5,-10.510280171763
-1.88,-0.00002683046,2.683046E-5,-10.525972748687
-1.86,-0.00002643774,2.643774E-5,-10.540718023185
-1.84,-0.00002625384,2.625384E-5,-10.547698293911
-1.82,-0.00002594023,2.594023E-5,-10.5597155125
-1.8,-0.00002563415,2.563415E-5,-10.57158511107
-1.78,-0.00002539758,2.539758E-5,-10.580856664069
-1.76,-0.0000250843,2.50843E-5,-10.59326840554
-1.74,-0.00002480452,2.480452E-5,-10.604484663336
-1.72,-0.00002454729,2.454729E-5,-10.614909096782
-1.7,-0.00002433514,2.433514E-5,-10.623589161665
-1.68,-0.00002399671,2.399671E-5,-10.637593820346
-1.66,-0.00002374103,2.374103E-5,-10.648305783035
-1.64,-0.00002352467,2.352467E-5,-10.657460900221
-1.62,-0.00002320753,2.320753E-5,-10.671033762988
-1.6,-0.00002298657,2.298657E-5,-10.680600425622
-1.58,-0.00002269274,2.269274E-5,-10.69346550842
-1.56,-0.00002249206,2.249206E-5,-10.702348199923
-1.54,-0.00002216151,2.216151E-5,-10.717153557612
-1.52,-0.00002192508,2.192508E-5,-10.72787937091
-1.5,-0.0000217063,2.17063E-5,-10.737908016973
-1.48,-0.00002137155,2.137155E-5,-10.753449959677
-1.46,-0.00002116596,2.116596E-5,-10.763116327118
-1.44,-0.00002094491,2.094491E-5,-10.773614900543
-1.42,-0.00002066229,2.066229E-5,-10.787200258208
-1.4,-0.00002041439,2.041439E-5,-10.799270513629
-1.38,-0.00002011449,2.011449E-5,-10.814070107097
-1.36,-0.00001991822,1.991822E-5,-10.82387566723
-1.34,-0.00001953273,1.953273E-5,-10.843419037898
-1.32,-0.00001926168,1.926168E-5,-10.857392927984
-1.3,-0.00001905862,1.905862E-5,-10.867991065298
-1.28,-0.00001873802,1.873802E-5,-10.884955943086
-1.26,-0.00001855604,1.855604E-5,-10.89471521544
-1.24,-0.00001827707,1.827707E-5,-10.909863289249
-1.22,-0.00001798218,1.798218E-5,-10.926129290442
-1.2,-0.00001773177,1.773177E-5,-10.940152612066
-1.18,-0.00001736649,1.736649E-5,-10.96096807067
-1.16,-0.00001710626,1.710626E-5,-10.976066079576
-1.14,-0.00001691061,1.691061E-5,-10.987569322375
-1.12,-0.0000166165,1.66165E-5,-11.005114380365
-1.1,-0.00001631621,1.631621E-5,-11.02335146579
-1.08,-0.00001608337,1.608337E-5,-11.037724739057
-1.06,-0.00001586925,1.586925E-5,-11.051127283522
-1.04,-0.00001551041,1.551041E-5,-11.073999146567
-1.02,-0.00001524174,1.524174E-5,-11.091472840995
-1,-0.00001501738,1.501738E-5,-11.106302360932
-0.98,-0.00001473981,1.473981E-5,-11.124958561381
-0.96,-0.00001446532,1.446532E-5,-11.143756497417
-0.94,-0.00001415166,1.415166E-5,-11.165678626268
-0.92,-0.00001390257,1.390257E-5,-11.183436842832
-0.9,-0.00001365006,1.365006E-5,-11.201766640739
-0.88,-0.00001328416,1.328416E-5,-11.228938209957
-0.86,-0.00001303006,1.303006E-5,-11.24825156208
-0.84,-0.00001279808,1.279808E-5,-11.26621539829
-0.82,-0.0000124651,1.24651E-5,-11.292577818558
-0.8,-0.00001225361,1.225361E-5,-11.30968997051
-0.78,-0.00001191904,1.191904E-5,-11.337373436483
-0.76,-0.00001166174,1.166174E-5,-11.359197160045
-0.74,-0.00001135528,1.135528E-5,-11.38582772397
-0.72,-0.00001105709,1.105709E-5,-11.412438706797
-0.7,-0.0000107402,1.07402E-5,-11.441516847083
-0.68,-0.00001046894,1.046894E-5,-11.46709777985
-0.66,-0.00001020081,1.020081E-5,-11.493043429062
-0.64,-0.000009862723,9.862723E-6,-11.526748261148
-0.62,-0.000009575076,9.575076E-6,-11.556347085592
-0.6,-0.000009290343,9.290343E-6,-11.586535084399
-0.58,-0.000009001184,9.001184E-6,-11.618154433725
-0.56,-0.000008724595,8.724595E-6,-11.649364509291
-0.54,-0.000008448194,8.448194E-6,-11.681557867249
-0.52,-0.000008187529,8.187529E-6,-11.712898415024
-0.5,-0.000007888914,7.888914E-6,-11.750052075166
-0.48,-0.000007587631,7.587631E-6,-11.788991136489
-0.46,-0.000007310589,7.310589E-6,-11.826186712893
-0.44,-0.000006997153,6.997153E-6,-11.870007205925
-0.42,-0.000006733713,6.733713E-6,-11.908383857676
-0.4,-0.00000642239,6.42239E-6,-11.955720235396
-0.38,-0.000006125448,6.125448E-6,-12.003058661351
-0.36,-0.000005834862,5.834862E-6,-12.051659942891
-0.34,-0.000005546519,5.546519E-6,-12.10234003419
-0.32,-0.000005213944,5.213944E-6,-12.164173982825
-0.3,-0.000004879065,4.879065E-6,-12.230556954817
-0.28,-0.000004555126,4.555126E-6,-12.299257365725
-0.26,-0.000004220477,4.220477E-6,-12.375562403129
-0.24,-0.00000385722,3.85722E-6,-12.465563841215
-0.22,-0.000003472674,3.472674E-6,-12.570585655582
-0.2,-0.000003080035,3.080035E-6,-12.690569597407
-0.18,-0.000002661148,2.661148E-6,-12.836752949327
-0.16,-0.000002232301,2.232301E-6,-13.012477665907
-0.14,-0.000001796528,1.796528E-6,-13.229654644653
-0.12,-0.000001374585,1.374585E-6,-13.497358690584
-0.1,-0.0000009751652,9.751652E-7,-13.840658944404
-0.08,-0.0000006041246,6.041246E-7,-14.319485368896
-0.06,-0.0000002986352,2.986352E-7,-15.024043075333
-0.04,-0.00000009578453,9.578453E-8,-16.161164647264
-0.02,-0.00000001967322,1.967322E-8,-17.744007516875
0,-0.000000000006039678,6.039678E-12,-25.832670416661
0.02,0.00000001311182,1.311182E-8,-18.149751723482
0.04,0.00000003200671,3.200671E-8,-17.257320268628
0.06,0.00000005543763,5.543763E-8,-16.708007231896
0.08,0.0000000769672,7.69672E-8,-16.379886479871
0.1,0.00000009355262,9.355262E-8,-16.184741778205
0.12,0.0000001062505,1.062505E-7,-16.057466323271
0.14,0.000000116181,1.16181E-7,-15.968116517086
0.16,0.0000001237496,1.237496E-7,-15.905005667826
0.18,0.000000131205,1.31205E-7,-15.846504851406
0.2,0.0000001378674,1.378674E-7,-15.796973483286
0.22,0.0000001436806,1.436806E-7,-15.755673056455
0.24,0.0000001492491,1.492491E-7,-15.717649114843
0.26,0.0000001540421,1.540421E-7,-15.68603989527
0.28,0.0000001590951,1.590951E-7,-15.653763700317
0.3,0.0000001636476,1.636476E-7,-15.625550501551
0.32,0.0000001680923,1.680923E-7,-15.598752603649
0.34,0.0000001723829,1.723829E-7,-15.573547671571
0.36,0.0000001763346,1.763346E-7,-15.550882510417
0.38,0.0000001805601,1.805601E-7,-15.527202150605
0.4,0.0000001837696,1.837696E-7,-15.509583037875
0.42,0.0000001875094,1.875094E-7,-15.489436859459
0.44,0.0000001912823,1.912823E-7,-15.469515489611
